,code,disorder,symptome
0,F60.2,Antisocial Personality Disorder,lack remorse indicated indifferent rationalizing hurt mistreated stolen another
1,F60.2,Antisocial Personality Disorder,deceitfulness indicated repeated lying use aliases conning others personal profit pleasure
2,F60.2,Antisocial Personality Disorder,pervasive pattern disregard violation rights others occurring since age 15 years indicated three following consistent irresponsibility indicated repeated failure sustain consistent work behavior honor financial obligations
3,F60.2,Antisocial Personality Disorder,impulsivity failure plan ahead
4,F60.2,Antisocial Personality Disorder,irritability aggressiveness indicated repeated physical fights assaults
5,F60.2,Antisocial Personality Disorder,evidence conduct disorder onset age 15 years
6,F60.2,Antisocial Personality Disorder,occurrence antisocial behavior exclusively course schizophrenia bipolar disorder
7,F60.2,Antisocial Personality Disorder,individual least age 18 years
8,F60.2,Antisocial Personality Disorder,failure conform social norms respect lawful behaviors indicated repeatedly performing acts grounds arrest
9,F60.2,Antisocial Personality Disorder,reckless disregard safety self others
10,F91.2,Conduct Disorder: Childhood-onset type,disturbance behavior causes clinically significant impairment social academic occupational functioning
11,F91.2,Conduct Disorder: Childhood-onset type,often truant school beginning age 13 years
12,F91.2,Conduct Disorder: Childhood-onset type,often lies obtain goods favors avoid obligations e cons others
13,F91.2,Conduct Disorder: Childhood-onset type,deceitfulness theft used weapon cause serious physical harm others e g bat brick broken bottle knife gun
14,F91.2,Conduct Disorder: Childhood-onset type,physically cruel people
15,F91.2,Conduct Disorder: Childhood-onset type,stolen confronting victim e g mugging purse snatching extortion armed robbery
16,F91.2,Conduct Disorder: Childhood-onset type,destruction property deliberately engaged fire setting intention causing serious damage
17,F91.2,Conduct Disorder: Childhood-onset type,forced someone sexual activity
18,F91.2,Conduct Disorder: Childhood-onset type,deliberately destroyed others property fire setting
19,F91.2,Conduct Disorder: Childhood-onset type,often initiates physical fights
20,F91.2,Conduct Disorder: Childhood-onset type,aggression people animals stolen items nontrivial value without confronting victim e g shoplifting without breaking entering forgery
21,F91.2,Conduct Disorder: Childhood-onset type,broken someone elses house building car
22,F91.2,Conduct Disorder: Childhood-onset type,physically cruel animals
23,F91.2,Conduct Disorder: Childhood-onset type,often bullies threatens intimidates others
